,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
65,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High'})","frozenset({'Region_South', 'Yield_Category_Very High'})",0.388485,0.105885,0.06772,0.1743181847432977,1.646297254033127,1.0,0.026585265775,1.0828808185899337,0.641973265380585,0.1587249501933669,0.0765373411063427,0.4069399867381785
66,"frozenset({'Region_East', 'Irrigation_Used', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.097041,0.424435,0.067769,0.6983543038509495,1.6453739768184752,1.0,0.0265814031649999,1.9080829176345997,0.4343889750968497,0.1493673229639392,0.4759137610017105,0.4290115199676956
67,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Weather_Condition_Sunny'})",0.388485,0.141879,0.090645,0.233329472180393,1.644566653136779,1.0,0.0355271366849999,1.11928262384166,0.6409279915530968,0.2061430140612527,0.1065706027243163,0.4361094742121173
68,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Weather_Condition_Cloudy'})",0.388485,0.14098,0.090047,0.2317901592082062,1.644135049001321,1.0,0.0352783847,1.1182100962343935,0.6406669620987872,0.2049233304052177,0.1057136727994764,0.4352559818597422
69,"frozenset({'Irrigation_Used', 'Region_West', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.097395,0.424435,0.067914,0.6973047897736024,1.6429012446513658,1.0,0.026576153175,1.901467154268852,0.433545889465202,0.1496179909939284,0.4740903108660228,0.4286575782482111
70,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Region_North'})",0.388485,0.10667,0.068051,0.1751702124921168,1.6421694243190852,1.0,0.02661130505,1.0830476948451162,0.639476438432162,0.1593312167528283,0.0766796284599384,0.4065642006493583
71,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High', 'Weather_Condition_Cloudy'})",frozenset({'Yield_Category_Very High'}),0.129243,0.424435,0.090047,0.6967263217350264,1.6415383315113654,1.0,0.035191747295,1.897840271838964,0.4488224865754572,0.1942212664813181,0.4730852670593701,0.4544418301572748
72,"frozenset({'Weather_Condition_Rainy', 'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Irrigation_Used', 'Yield_Category_Very High'})",0.128966,0.277442,0.058425,0.4530263790456399,1.6328687763411447,1.0,0.0226444150279999,1.3210106892162006,0.4449664607617391,0.1678961328570648,0.2430038544250287,0.331805466827626
73,"frozenset({'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Irrigation_Used', 'Temperature_Category_Warm', 'Yield_Category_Very High'})",0.388289,0.109006,0.069097,0.1779525044490058,1.632501921444744,1.0,0.026771169266,1.083871679948119,0.6333763717139753,0.1613669377250711,0.0773815586289086,0.405917521512432
74,"frozenset({'Fertilizer_Used', 'Temperature_Category_Mild', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.07776,0.424435,0.053826,0.6922067901234568,1.6308899834449486,1.0,0.0208219344,1.869973025821008,0.419454648802437,0.1200484422428847,0.4652329278595063,0.409512397618068
75,"frozenset({'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Irrigation_Used', 'Weather_Condition_Rainy', 'Yield_Category_Very High'})",0.388289,0.09276,0.058425,0.1504678216483083,1.622119681417727,1.0,0.02240731236,1.067928941503165,0.6269671074275347,0.1382434504429469,0.0636081099249463,0.390159525313158
76,"frozenset({'Irrigation_Used', 'Temperature_Category_Warm', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.155549,0.424435,0.107037,0.688123999511408,1.621270629216271,1.0,0.0410165601849999,1.8454930776921177,0.4537857493509991,0.2263192281587577,0.4581393926166601,0.4701555123076849
77,"frozenset({'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Irrigation_Used', 'Weather_Condition_Sunny', 'Yield_Category_Very High'})",0.388289,0.092621,0.05828,0.1500943884580814,1.620522219130451,1.0,0.022316284531,1.0676232603686566,0.6259736564527832,0.1378983981260204,0.0633400028632814,0.3896626702010125
78,"frozenset({'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Irrigation_Used'})",0.388289,0.277442,0.174564,0.4495723546121574,1.6204192393803296,1.0,0.066836323262,1.3127211288431395,0.6259095468387198,0.3554066132293089,0.2382235815147814,0.5393816603259531
79,"frozenset({'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Irrigation_Used', 'Weather_Condition_Cloudy', 'Yield_Category_Very High'})",0.388289,0.092061,0.057859,0.1490101445057676,1.6186022800726432,1.0,0.022112726371,1.0669210615591809,0.6247770646715701,0.1369472959187296,0.062723535948745,0.388747802616447
80,"frozenset({'Fertilizer_Used', 'Weather_Condition_Sunny', 'Rainfall_Category_Very High'})","frozenset({'Irrigation_Used', 'Yield_Category_Very High'})",0.129984,0.277442,0.05828,0.4483628754308222,1.6160598446912229,1.0,0.022216979072,1.3098429525828406,0.4381655442886356,0.1669215743557136,0.2365496962608153,0.329212399141583
81,"frozenset({'Fertilizer_Used', 'Weather_Condition_Cloudy', 'Rainfall_Category_Very High'})","frozenset({'Irrigation_Used', 'Yield_Category_Very High'})",0.129339,0.277442,0.057859,0.4473438019468219,1.6123867400999916,1.0,0.0219749291619999,1.307427660352546,0.4362219041605102,0.165822160826775,0.2351393271499614,0.3279441452623073
82,"frozenset({'Irrigation_Used', 'Fertilizer_Used'})","frozenset({'Yield_Category_Very High', 'Temperature_Category_Hot', 'Rainfall_Category_Very High'})",0.250093,0.179446,0.072243,0.2888645423902308,1.6097574891066442,1.0,0.027364811522,1.1538645573348327,0.5051138551729072,0.2021936993417222,0.1333471561776932,0.3457268110566894
